Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,194.17676326718933,197.18716715920306,190.80431766595598,195.1177640596597,193.12291081835798,1882366
2021-11-05,193.446954772307,199.0988586669171,187.777040955045,187.777040955045,185.84277211158712,1044151
2021-11-08,186.113361288857,194.45652838669702,181.94087165705002,187.62037125177744,185.61916884809443,1586969
2021-11-09,183.09964497097008,188.67109177604,177.83250986489665,187.6617661882096,185.77400328292308,683920
2021-11-10,187.75226144505467,190.9551167289611,185.28642202805705,185.28642202805705,183.2650048936355,1103324
2021-11-11,181.2945242015534,184.7957498111257,176.65690767318424,184.7957498111257,182.33177995957683,1398428
2021-11-12,181.64285847902985,181.64285847902985,176.48833953793795,176.48833953793795,174.25464591988995,1987839
2021-11-15,173.37726595460114,182.18716810477378,168.61821502166305,169.69444113941316,167.43765329873509,715757
2021-11-16,168.7737834617103,172.91796632184963,164.31853926878463,164.47798384525643,162.771070523366,1961242
2021-11-17,166.1553636154762,171.5435219097474,162.14628303058976,170.82047896494632,168.3735206175154,1088617
2021-11-18,171.01636836943848,172.91717904012492,168.2307651110565,169.27805176902888,167.56105018778507,508042
2021-11-19,172.6754723259447,172.6754723259447,168.42219714070143,170.07882882205922,168.2253649592632,1158480
2021-11-22,174.0344396851764,176.95577272557793,168.9563517727477,176.95577272557793,174.4394169605709,576037
2021-11-23,176.2875575838122,183.80838311902528,173.27130383759766,176.63729656794325,174.22781705813247,804205
2021-11-24,180.56803277124138,180.56803277124138,177.39083484519304,177.82692389726424,175.3735816529027,874261
2021-11-25,179.5774239113103,183.82292896435808,176.7932254742117,183.82292896435808,181.15467044194196,1166527
2021-11-26,187.29001783372183,192.67913809535676,183.05534330922578,185.4610356283108,183.4974853291665,1952320
2021-11-29,184.73772285838666,191.93827868896594,179.6991211622518,185.30957639022384,182.59545016188704,883503
2021-11-30,183.83784290140198,187.80475100644213,180.49106764267356,187.80475100644213,185.38928507539651,1452767
2021-12-01,191.9305389152566,194.25422107777035,186.65331190402182,194.25422107777035,191.89104545298258,1154063
2021-12-02,193.2235830083577,202.7426187845545,191.02001434024112,197.4470174114354,195.0830249360999,1637394
2021-12-03,201.65568679132974,211.19482197709826,196.3030026207365,199.68822930826443,197.16404867326577,1530507
2021-12-06,198.70245430128872,208.13195214749496,194.5852308485384,194.5852308485384,192.58797449783373,1176504
2021-12-07,191.22054078021324,195.37206154437186,188.8685723718378,195.37206154437186,193.228667908779,1720816
2021-12-08,193.9727744938826,199.5579414087591,188.16994693935155,192.07339459023817,189.65416947436745,837022
2021-12-09,194.97060230931172,194.97060230931172,189.1597169663144,191.8773726985717,189.7085198927783,1641987
2021-12-10,188.29550988494753,193.8271506381746,185.19387648245518,193.26140837627767,190.54627717810317,1451656
2021-12-13,191.28214591039463,197.28657081597663,187.35522395001038,189.67225988607393,187.2932807920068,1993174
2021-12-14,189.4542001120487,199.3320332705851,187.33273400869047,191.28029654469927,188.47465768582782,1082265
2021-12-15,196.48047866014502,204.51215304128095,191.675446438651,193.55163490637665,191.16088749900075,834808
2021-12-16,199.14916353683637,199.59973798433748,196.62228401933507,198.61070959493148,195.88123108349942,546440
2021-12-17,193.47779351513202,195.9257251392146,187.97342185020716,188.52736654883708,186.14689380599123,774510
2021-12-20,185.44243846394878,192.6575019411286,182.97224827416872,189.75928167902694,187.18606217164034,746826
2021-12-21,189.438994918666,189.438994918666,185.35575973665257,188.94266599444055,186.42063683441364,1102486
2021-12-22,192.56646171259897,194.31863433372362,187.95898863588008,194.31863433372362,191.5601271571658,1349997
2021-12-23,199.3304637411567,201.82611038877613,197.16280459554383,201.82611038877613,199.30670120811718,1451642
2021-12-24,199.00118420507192,204.23851164833815,194.0365726004359,200.76584339329824,198.27670400326792,665718
2021-12-27,206.21137651905997,207.13521719142597,203.59724081312243,204.08979597009352,201.48334908322875,980633
2021-12-28,201.71582345977902,209.16813508135624,195.87738659526542,204.77694471746977,201.7721716782537,845851
2021-12-29,209.8091200355005,216.65264889661336,206.12043379001688,214.3270518266158,211.26177108310245,1280338
2021-12-30,210.05405921471723,215.64396503965716,206.81423630816897,215.64396503965716,212.9641983872796,899417
2021-12-31,210.7484481465968,216.61486234029087,205.37345387926956,216.61486234029087,213.48283353125743,1611359
2022-01-03,221.4773069416355,227.36248827461222,217.1912491518166,222.5112544360731,219.8243900253481,1984427
2022-01-04,222.222300990379,225.51438246318622,217.8526888893537,217.8526888893537,215.38773789030174,1969703
2022-01-05,218.54875509231255,220.64223966016016,213.42399875342994,217.4715054266777,214.31547895289032,1812513
2022-01-06,223.17055187812792,228.02137766281422,217.9486920686894,223.64221912613257,221.2353443765948,1968489
2022-01-07,228.77699901706598,236.15427704680874,223.29971789188812,223.3991350157416,220.50815117712892,695609
2022-01-10,227.65702735959036,234.3921847430502,224.38724873277255,234.2802744134259,231.51065898208262,1423116
2022-01-11,237.54766444743095,247.5316013101818,230.8187983528671,230.8187983528671,228.46768330270163,1730472
2022-01-12,231.59328472784202,241.8367198480913,225.531756367353,231.13555143295204,227.80749590703496,1707693
2022-01-13,228.48980888740806,239.59553681659028,224.04222230172573,224.8822912359727,221.64692877123892,504913
2022-01-14,224.96401422881362,235.81023363344875,219.46040470286434,224.11206164772813,221.14793066941635,1684494
2022-01-17,218.61576552206319,222.86588840493962,212.32319105609395,222.86588840493962,220.451306924958,1595818
2022-01-18,226.94765693654182,238.73859771568465,222.7772918272755,224.1814997618862,221.08511308378758,1357478
2022-01-19,224.0153276509393,234.3142901059266,220.75057936574206,222.89803887826397,220.15160087955798,1027698
2022-01-20,221.74526571056685,222.98836858046027,216.67059980101223,217.69353236925616,215.5035263269431,1707043
2022-01-21,223.12791065913157,223.28410709349873,220.27439160964954,221.97977712380782,219.45136508209484,1196055
2022-01-24,222.94603553827957,228.54676791659026,220.6991942654816,228.54676791659026,226.25891509675665,1329500
2022-01-25,230.9312023449667,235.3742866187108,224.79940195414335,227.1216169827542,223.86965016491544,1420628
2022-01-26,229.21947265892857,233.90856551852616,226.75984904002433,233.90856551852616,231.47604203915176,840194
2022-01-27,235.9485360742542,249.39266188741837,232.61254593371135,242.40861659587185,239.16154412768714,629165
2022-01-28,247.47752267015363,250.00932926651072,241.1052099428638,250.00932926651072,247.0580379963542,903652
2022-01-31,253.7245354828538,256.3490598328722,248.25927549274664,249.39918686211567,246.87678554406813,603961
